year,name,college,position,height_in,weight_lbs,40yards,drafted
2012,bryan anger,California,P,75.63,208,4.86,Y
2013,dylan breeding,Arkansas,P,73.25,213,4.74,N
2013,josh hubner,Arizona State,P,75.63,232,5.06,N
2014,cody mandell,Alabama,P,74.5,216,4.89,N
2015,kyle christy,Florida,P,74.25,202,4.93,N
2015,will johnson,Texas State,P,73.88,206,5.02,N
2015,kyle loomis,Portland State (OR),P,73.63,221,5.08,N
2015,trevor pardula,Kansas,P,76.38,227,5.12,N
2015,bradley pinion,Clemson,P,77,229,5.18,Y
2015,spencer roth,Baylor,P,76,227,5.06,N
2017,cameron johnston,Ohio State,P,71.25,194,4.92,N
2017,austin rehkow,Idaho,P,74.63,214,10,N
2017,justin vogel,Miami (FL),P,76,219,4.7,N
2018,trevor daniel,Tennessee,P,73,230,4.98,N
2018,jk scott,Alabama,P,78,208,4.83,Y
